OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PVT Blossom Private School (31050101),QxIErhhC7xx,31050101,RqsATah9zZ6,PVT Blossom Private School (31050101),,2011-01-01,,,,,,,,,
PVT Bible Faith Christian School Jos (31050094),c5t2nyQkEP4,31050094,RqsATah9zZ6,PVT Bible Faith Christian School Jos (31050094),,1995-01-01,,,,,,,,,
PVT Beulaville Christain Academy (Agape) (31050093),kBAjNxNbfhp,31050093,RqsATah9zZ6,PVT Beulaville Christain Academy (Agape) (310500,,2006-01-01,,,,,,,,,
PVT Benvian International School Jos (31050089),o1KawS5D2Jp,31050089,RqsATah9zZ6,PVT Benvian International School Jos (31050089),,2014-01-01,,,,,,,,,
PRY Behwol Local Education Authority Primary School Jos North (31050087),zNdLRtCZRZU,31050087,RqsATah9zZ6,PRY Behwol Local Education Authority Primary Sch,,1975-01-01,,,,,,,,,
PRY Behind Ndlocal Education Authority Primary SchoolAton Rikkos Jos North (31050086),H8PAVXQKvle,31050086,RqsATah9zZ6,PRY Behind Ndlocal Education Authority Primary S,,2005-01-01,,,,,,,,,
PRY Baptist Park Primary School Jos North (31050084),A3hKu6MQwMs,31050084,RqsATah9zZ6,PRY Baptist Park Primary School Jos North (31050,,1932-01-01,,,,,,,,,
PVT Baptist Model Academy Gwafan (31050083),kVJ2Amdhnwv,31050083,RqsATah9zZ6,PVT Baptist Model Academy Gwafan (31050083),,2013-01-01,,,,,,,,,
PRY Babale Local Education Authority Primary School Babale (31050077),jLC2sIczvSJ,31050077,RqsATah9zZ6,PRY Babale Local Education Authority Primary Sch,,1973-01-01,,,,,,,,,
PVT Aweng Private School Fudawa (31050075),jz203XjGEPU,31050075,RqsATah9zZ6,PVT Aweng Private School Fudawa (31050075),,2001-01-01,,,,,,,,,
PVT Ave Maria Model Nursery And Primary (31050072),QOPUWGA1Qwq,31050072,RqsATah9zZ6,PVT Ave Maria Model Nursery And Primary (3105007,,2013-01-01,,,,,,,,,
PVT Assemblies Of God Private School (31050069),nXQ1v4LN90s,31050069,RqsATah9zZ6,PVT Assemblies Of God Private School (31050069),,1997-01-01,,,,,,,,,
PVT Assabr Private School (31050067),eaeA96zkZZk,31050067,RqsATah9zZ6,PVT Assabr Private School (31050067),,2005-01-01,,,,,,,,,
PRY Ansar-Ud-Deen Primary School Ansar-Ud-Deen (31050063),Y5nksaM3AR6,31050063,RqsATah9zZ6,PRY Ansar-Ud-Deen Primary School Ansar-Ud-Deen (,,1950-01-01,,,,,,,,,
PVT Alheri Private Scool 4 Joseph Gomwalk Road Jos (31050057),annLVREDKa8,31050057,RqsATah9zZ6,PVT Alheri Private Scool 4 Joseph Gomwalk Road J,,1977-01-01,,,,,,,,,
PVT Albite Academy Jos (31050055),XlzVVGNeY66,31050055,RqsATah9zZ6,PVT Albite Academy Jos (31050055),,2014-01-01,,,,,,,,,
PVT Albakans Pre Science Private School Tudun Wada Jos (31050054),iwkyTiBw41P,31050054,RqsATah9zZ6,PVT Albakans Pre Science Private School Tudun Wa,,1989-01-01,,,,,,,,,
PVT Alama Private School Jos (31050051),Q0YeDl5RZSK,31050051,RqsATah9zZ6,PVT Alama Private School Jos (31050051),,1979-01-01,,,,,,,,,
